Date,KLCI_Close,AMM_Close,Astro_Close,Axiata_Close,Roth_Close,Cimb_Close,Digi_Close,Fgv_Close,Gent_Close,Genm_Close,Hlbk_Close,Hlfg_Close,Ihh_Close,Ioi_Close,Klk_Close,Misc_Close,May_Close,Maxis_Close,Pep_Close,Pchem_Close,Petd_Close,Ptg_Close,Pbk_Close,Rhbc_Close,Sakp_Close,Sime_Close,T_Close,Tnb_Close,Uems_Close,Umwh_Close,Ytl_Close
2013-04-17,1710.97,6.5,2.9,6.71,62.48,7.76,4.68,4.6,10.26,3.77,14.44,15.04,3.68,5.12,21.68,5.37,9.63,6.76,12.48,6.49,23.5,19.2,16.3,8.5,3.08,9.45,5.5,7.99,2.83,13.5,1.64
2013-04-18,1706.26,6.49,2.91,6.72,62.5,7.7,4.67,4.6,10.08,3.7,14.44,15.34,3.67,5.09,21.66,5.44,9.65,6.73,12.6,6.46,23.5,19.3,16.28,8.49,3.13,9.45,5.48,7.95,2.76,13.4,1.63
2013-04-19,1706.28,6.49,2.87,6.72,62.5,7.77,4.67,4.6,10.2,3.66,14.4,15.3,3.65,5,21.66,5.3,9.7,6.71,12.68,6.46,23.52,19.36,16.28,8.47,3.13,9.44,5.48,7.9,2.74,13.32,1.63
2013-04-22,1706.68,6.52,2.88,6.74,62.5,7.76,4.67,4.59,10,3.7,14.46,15,3.68,4.99,21.64,4.57,9.77,6.7,12.6,6.46,23.6,19.3,16.32,8.43,3.1,9.45,5.47,7.88,2.7,13.4,1.64
2013-04-23,1700.39,6.52,2.87,6.72,62.46,7.73,4.64,4.56,10,3.7,14.44,15.08,3.66,4.96,21.3,4.54,9.73,6.7,12.62,6.43,23.4,19.26,16.34,8.35,3.08,9.39,5.45,7.83,2.66,13.4,1.63
2013-04-24,1707.35,6.6,2.86,6.74,63,7.73,4.54,4.57,10.16,3.7,14.46,15.28,3.69,5.08,21.7,4.52,9.74,6.72,12.68,6.5,23.54,19.4,16.38,8.43,3.07,9.38,5.46,7.85,2.64,13.52,1.64
2013-04-25,1706.34,6.61,2.87,6.8,63,7.72,4.54,4.55,10.24,3.71,14.46,15.38,3.74,5.01,21.64,4.3,9.55,6.73,12.68,6.47,23.68,19.46,16.38,8.4,3.02,9.4,5.47,7.82,2.69,13.72,1.64
2013-04-26,1711.29,6.72,2.95,6.79,62.5,7.77,4.57,4.56,10.32,3.72,14.46,15.4,3.72,5.04,21.38,4.36,9.57,6.79,12.68,6.48,23.74,19.46,16.4,8.41,3.02,9.44,5.5,7.83,2.65,13.88,1.65
2013-04-29,1707.97,6.68,2.95,6.77,62.54,7.72,4.58,4.56,10.42,3.67,14.4,15.5,3.75,4.96,21.14,4.41,9.54,6.77,12.72,6.49,23.54,19.64,16.36,8.36,3.1,9.44,5.48,7.84,2.64,13.94,1.63
2013-04-30,1717.65,6.7,2.95,6.77,63.32,7.74,4.64,4.62,10.5,3.76,14.46,15.38,3.75,5.03,21.56,4.36,9.62,6.76,12.8,6.53,23.62,19.72,16.42,8.48,3.18,9.44,5.52,7.85,2.51,14.3,1.64
2013-05-02,1713.46,6.69,2.96,6.74,62.84,7.71,4.62,4.58,10.5,3.72,14.44,15.3,3.78,5,21.58,4.3,9.62,6.76,12.84,6.5,23.52,20,16.42,8.4,3.08,9.38,5.51,7.79,2.56,14.3,1.63
